HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
3,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,0,0,0,0,0,0,0,0,0,0,0,0.19,0,unknown,medium,acceptable,0,0,0,0,0,1.29E+11
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,0,0,0,0,0,0,0,0,0,0.3,0,captivity,large,acceptable,0.05,0.04,0,0,0,2.20E+37
6,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,0,0,0,0,0,0,0,0,0,0,0,8,812,unknown,medium,acceptable,0,0,0,0,0,6.34E+54
8,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,0,0,0,0,0,0,0,0,0,0,0,0.5,1293,captivity,medium,acceptable,0,0,0,0,0,1293
9,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,0,0,0,0,0,0,0,0,0,0,0,28,411,unknown,medium,acceptable,0,0,0,0,0,411813814
10,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,0,0,0,0,0,0,0,0,0,0,0,0.4,1156,captivity,medium,questionable,0,0,0,0,0,1156
11,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15,15,0,0,0,0,0,0,0,0,0,0.5,811,wild,medium,acceptable,0,0,0,0,0,418809811
12,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,0,0,0,0,0,0,0,0,0,0,0,100,2,wild,medium,acceptable,0,0,0,0,0,213594
15,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095,1095,0,0,190,0,0,0,0,0,0,20,485,captivity,medium,acceptable,0,0,0,0,0,485525749
16,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,0,0,0,0,148,0,0,0,0,0,0,15.8,451,captivity,large,acceptable,0,0,0,0,0,451525749
17,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,0,0,0,0,73,0,0,0,0,0,0,29,0,captivity,medium,acceptable,0,0,0,0,0,24525749
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910,910,8,0,6000,0,365,0,0,21.7667,0,36,525,captivity,medium,acceptable,0,0,0.00829,21.6,288,3.73E+13
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095,1095,6,0,5200,0,0,0,0,0,0,11.5,451,captivity,medium,acceptable,0,0,0,0,0,4.37E+11
20,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825,1460,11,0,1750,0,0,0,0,0,0,15,503,wild,medium,acceptable,0,0,0,0,0,503526749
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730,730,4,0,11074,0,0,0,0,0,0,10.7,485,captivity,small,questionable,0,0,0,0,0,485526749
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,0,0,0,0,1300,0,0,0,0,0,0,12.4,451,captivity,small,acceptable,0,0,0,0,0,451749
23,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730,730,0,0,0,0,0,0,0,0,0,13.3,451,captivity,small,acceptable,0,0,0,0,0,451528
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730,730,0,0,1500,0,0,0,0,0,0,11.3,485,captivity,medium,acceptable,0,0,0,0,0,485749
25,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,0,0,2,0,0,0,0,0,0,0,0,15.3,451,captivity,small,acceptable,0,0,0,0,0,451749
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,0,0,3,0,3250,0,0,0,0,19.267,0,10,451,captivity,medium,acceptable,0,0,0.00698,19.2,288,37451749
27,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,0,0,0,0,0,0,0,0,0,0,0,10,451,captivity,large,acceptable,0,0,0,0,0,451
28,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460,1460,0,0,0,0,0,0,0,0,0,40,451,captivity,medium,acceptable,0,0,0,0,0,4.52E+12
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,0,1095,0,0,7750,0,0,0,0,0,0,15.4,485,captivity,medium,acceptable,0,0,0,0,0,485749
30,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,0,0,0,0,0,0,0,0,0,0,0,5,990,captivity,medium,questionable,0,0,0,0,0,990
31,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,0,0,0,0,0,0,0,0,0,0,0,10.7,451,captivity,small,acceptable,0,0,0,0,0,451
32,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,0,0,0,0,0,0,0,0,0,0,0,20,485,captivity,small,acceptable,0,0,0,0,0,485
33,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,0,0,0,0,0,0,0,0,0,0,0,11.9,451,captivity,large,acceptable,0,0,0,0,0,451
34,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,0,0,0,0,0,0,0,0,0,0,0,28.7,451,captivity,tiny,acceptable,0,0,0,0,0,451
35,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,small,low,0,0,0,0,0,451525
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365,365,2,0,10000,0,0,0,0,106.25,0,24.8,485,captivity,large,acceptable,0,0,0.0303,105,293,37296485749
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,0,0,0,0,0,0,0,0,0,0,0,15.1,451,captivity,small,acceptable,0,0,0,0,0,451
38,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,0,0,0,0,0,0,0,0,0,0,0,12.8,451,captivity,small,acceptable,0,0,0,0,0,451
39,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,0,0,0,0,0,0,0,0,0,0,0,15.9,451,captivity,tiny,acceptable,0,0,0,0,0,451
40,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,0,0,0,0,0,0,0,0,0,0,0,10.3,485,captivity,small,acceptable,0,0,0,0,0,485749
41,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,0,0,0,0,0,0,0,0,0,0,0,14.7,451,captivity,medium,acceptable,0,0,0,0,0,451
42,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365,365,12,0,6,0,0,0,0,0,0,20.5,448,captivity,large,acceptable,0,0,0,0,0,448749
43,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75,75,12,0,7,0,0,0,0,0,0,11.5,451,captivity,large,acceptable,0,0,0,0,0,451749
44,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,large,low,0,0,0,0,0,451
45,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,0,0,0,0,0,0,0,0,0,0,0,9.1,451,captivity,medium,acceptable,0,0,0,0,0,451
46,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,0,0,0,0,0,0,0,0,0,0,0,7.5,451,captivity,medium,acceptable,0,0,0,0,0,451
47,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304,304,15,0,14,0,0,0,0,0,0,0,0,unknown,medium,low,0,0,0,0,0,749
48,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,0,0,0,0,0,0,0,0,0,48.1,0,10.9,451,captivity,small,acceptable,0,0,0,0,0,451749
49,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog,0,0,0,0,0,0,0,0,0,1,0,0,0,unknown,small,low,0,0,0,0,0,1096
50,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,0,0,0,0,0,0,0,0,0,0,0,4.9,485,captivity,small,questionable,0,0,0,0,0,4857491096
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed tree frog,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,large,low,0,0,0,0,0,485
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,0,0,0,0,0,0,0,0,0,0,0,5.5,451,captivity,tiny,acceptable,0,0,0,0,0,451
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,0,0,0,0,0,0,0,0,0,0,0,12.8,451,captivity,tiny,acceptable,0,0,0,0,0,451
54,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,0,0,0,0,0,0,0,0,0,0,0,22,451,captivity,small,acceptable,0,0,0,0,0,451
55,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730,547,21,0,35,0,0,0,0,0,0,7.8,485,captivity,medium,acceptable,0,0,0,0,0,485528749
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730,730,0,0,1222,0,0,0,0,0,0,0,0,unknown,medium,low,0,0,0,0,0,485749
57,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,0,0,0,0,2250,0,0,0,0,0,0,12.5,451,captivity,medium,acceptable,0,0,0,0,0,451749
58,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278,1278,0,0,920,0,0,0,0,0,0,8.9,451,captivity,small,acceptable,0,0,0,0,0,451749
59,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,0,0,1,0,1000,1,0,0,0,0,0,8.5,485,captivity,medium,acceptable,0,0,0,0,0,485749
60,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730,730,4,0,1800,0,0,0,0,7.2,0,7.8,543,captivity,medium,acceptable,0,0,0.00433,6.97,290.5,37528543749
61,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,0,0,0,0,775,0,0,0,0,0,0,0,0,unknown,small,low,0,0,0,0,0,485749
62,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,0,0,0,0,1100,0,0,0,0,0,0,20,451,captivity,large,acceptable,0,0,0,0,0,451749
63,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255,120,1,0,1500,0,0,0,0,0,0,12.9,451,captivity,medium,acceptable,0,0,0,0,0,451749
64,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,0,0,0,0,0,0,0,0,0,0,0,6.6,451,captivity,small,questionable,0,0,0,0,0,451
65,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,0,0,0,0,0,0,0,0,0,0,0,8.7,451,captivity,small,acceptable,0,0,0,0,0,451
66,Animalia,Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy treefrog,0,0,0,0,0,0,0,0,0,0,0,10.3,451,captivity,medium,acceptable,0,0,0,0,0,451
67,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912,912,10,0,700,0,0,0,0,4,0,0,0,unknown,small,low,0,0,0.00105,0.9,292,3.75E+13
68,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,0,0,0,0,0,0,0,0,0,0,0,11,451,captivity,small,acceptable,0,0,0,0,0,451
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,0,0,0,0,2480,0,0,0,0,0,0,6.3,485,captivity,small,acceptable,0,0,0,0,0,485749
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,0,0,0,0,0,0,0,0,0,0,0,5.1,485,captivity,small,acceptable,0,0,0,0,0,485
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,0,0,0,0,2000,0,0,0,0,0,0,4.1,485,captivity,small,acceptable,0,0,0,0,0,485749
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,0,0,0,0,0,0,0,0,0,0,0,10.5,451,captivity,small,acceptable,0,0,0,0,0,451
73,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,0,0,32,0,62,0,0,0,0,0,0,14,525,wild,medium,acceptable,0,0,0,0,0,525749
74,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,0,0,0,0,0,0,0,0,0,0,0,18.8,451,captivity,medium,acceptable,0,0,0,0,0,451
75,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,0,0,14,0,40,0,0,0,0,0,0,10.9,451,captivity,large,acceptable,0,0,0,0,0,451749
76,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365,365,0,0,0,0,0,0,0,0,0,3,1060,wild,small,questionable,0,0,0,0,0,1060
77,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547,365,1,0,722,0,0,0,0,0,0,6.8,485,captivity,small,acceptable,0,0,0,0,0,485528749
78,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,0,0,0,0,0,0,0,0,0,0,0,11,485,captivity,medium,acceptable,0,0,0,0,0,485
79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547,182,0,0,0,0,0,1125,0,0,0,5,964,wild,small,acceptable,0,0,0,0,0,964
